user_id,family_id,first_name,last_name,email,password_digest,created_at,updated_at,last_login,active,last_synced_at
338574bd-e7b6-436c-aa05-74c42b45ddb3,b9bf3cf5-10f0-446c-ae21-f368b5216431,,,test@example.com,$2a$12$V4DgMNEBj4qUkPJO.mEgDuoFVUowZJLbnfQfAe0ydRvBEaKNLzPA6,2024-05-18 08:32:26.596313,2024-05-18 08:32:26.596313,,true,
f433bdf4-3194-41e3-b08d-8fdb20774849,a6170d2b-5eb9-4ffc-8b69-6571586d4c7b,JgidryOH,EUbz7cB1UH,jWNWCU@example.com,$2a$12$vZfZY1pYrOe0gOgXVBh/8uHi2owXMKFKyuHWG7uP5GR4WMJt.6J/q,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,,true,
1810f952-dd22-4ab2-97c6-51e198b9386d,aab966cc-c11b-400b-8fe5-9700af890908,40HMOfxN,zqNWNOe130,XREoIW@example.com,$2a$12$vZfZY1pYrOe0gOgXVBh/8uHi2owXMKFKyuHWG7uP5GR4WMJt.6J/q,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,,true,
5ec71e39-1bfe-4497-bc80-690e67ac865c,58b35a94-5652-4524-8fb7-db3e616e2e4e,,,test1@example.com,$2a$12$lDJQKqIuzzMLErZ0L/hB1.v4AWnirpodJXub/fZcp2n5DRA3RNQiK,2024-05-18 08:33:04.542443,2024-05-18 08:33:04.542443,,true,
41b68ece-f1a4-4255-8b3a-eb69a4000059,3c7a95dd-46de-46b8-a349-3b0d2639b48e,9nNs1nVj,9BahehhG8b,Te554N@example.com,QM3U8SJYgbHwSwGLIIJ7,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,,false,
842524f9-2e88-4c04-b2b2-ce8d10215f03,3c7a95dd-46de-46b8-a349-3b0d2639b48e,ZSzn1FSK,bRzRcpaYb8,UdQlst@example.com,h9CV5QB9LOMqagHsRNr6,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,,true,
901822b5-026b-49a5-84db-9f9180f3a75d,3c7a95dd-46de-46b8-a349-3b0d2639b48e,C7MGb8YI,egGcV4tBj9,UtpYbN@example.com,XuOeevnCEuuEmgE32kOl,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,,false,
9fd73f6b-6793-43f7-a135-ee8680a2558e,64827640-5a8f-4302-8a1b-181e5676b29e,dtVpBQox,ATC4ihHD5A,7XkyH5@example.com,KUaNcWF4Cg4i6FNC5uJs,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,,false,
dd21d1a9-4fde-40b2-a0e0-a8864278a8f0,64827640-5a8f-4302-8a1b-181e5676b29e,My2jhQDE,0ROw5ozL5A,nagh9B@example.com,Ptff5cGT3y140ufT55r5,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,,false,
09185e91-c695-4f5a-84bc-efa03e6ea6b4,64827640-5a8f-4302-8a1b-181e5676b29e,QcjH4TfT,C6MqQYy8lF,Q1CBbW@example.com,KfcDwAPEzx7aHYv2K03m,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,,false,
0d6bf790-8581-4165-bea5-4ac907c61489,cc1b6252-254b-40a1-89ee-4d0b2b84462f,LF1fCHsj,Xmx8jFGNto,cAHUbf@example.com,qc6E8eULbFJ0o626EvhD,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,,true,
2ee56a0b-a748-400b-80a3-0655af241d36,cc1b6252-254b-40a1-89ee-4d0b2b84462f,bygJOnuk,YXpA9r2Hsg,iNcLBc@example.com,Z0Wbn2AZS1j4O57ItHbM,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,,true,
51ad43d6-22fc-4436-a0d4-42a4887bf969,cc1b6252-254b-40a1-89ee-4d0b2b84462f,i691ExD7,uKe0Pq01ct,qa1ZfL@example.com,8OMiK1x0CdpyFxb5a64m,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,,true,
288d3df4-02fb-471f-8a1b-adc639eddd40,21d2c8e4-575b-4b4d-b158-75eacddb1302,6aXsz5GN,h8Y07OdSo0,FHopwN@example.com,274voLCGPekNLPdESvUA,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,,true,
580a5004-2a06-4709-a1de-e3f02777c4b7,21d2c8e4-575b-4b4d-b158-75eacddb1302,rJ8VJVTd,8fBLfEvIKQ,JdO8bR@example.com,GNOtYI6AHHi4OubgWViZ,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,,true,
b6ca5cde-e8be-4293-8a68-5298515087e4,21d2c8e4-575b-4b4d-b158-75eacddb1302,ggz2plFn,5cZGJiqsQp,wYN94U@example.com,fiUsk8wWRvbqvQ99NPZV,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,,false,
073dfee4-e2a0-4cd4-b1fd-ae215a08d7f9,3c0ef66a-c4d4-47a7-bee2-94876cc0e3a1,1kfO5R1M,vQHuUtilMw,PSveYc@example.com,oz4BG8QfEiA1ik6595L6,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,,false,
93330314-db63-4545-b8c9-a655d0679afd,3c0ef66a-c4d4-47a7-bee2-94876cc0e3a1,65gihaqg,9G3jm2DjG0,gwLRUd@example.com,kpoXFQSFoDeeDNqzNNIx,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,,false,
2d786b24-f8e9-4fca-942b-461dfad9508d,3c0ef66a-c4d4-47a7-bee2-94876cc0e3a1,zwDucWTT,YWKxEWQBxg,X83ngX@example.com,a8dz28hWOB89Ghxgetzj,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,,true,
2fdcc298-2334-4195-b6f1-2b97840e889a,aab966cc-c11b-400b-8fe5-9700af890908,lyUVtF5x,RoQENoVlhF,7JFtvz@example.com,q840zwS6EZHDnw2RBwFP,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,,true,
77339790-98cf-4fbc-b3dd-ff7f21772afc,aab966cc-c11b-400b-8fe5-9700af890908,jTHf63w8,p11STc44NC,eEcejo@example.com,NFOJrvvaXJCU2y8tATrl,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,,true,
